time,crosswalk_L,crosswalk_R,crosswalk_U,crosswalk_B,cars_L,cars_R
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,1,0,0,0,0,0
4,1,1,0,0,0,0
5,1,1,0,0,0,0
6,2,1,0,0,0,0
7,2,2,0,2,0,0
8,3,2,0,2,1,0
9,3,2,0,3,0,0
10,3,2,0,3,1,0
11,3,2,0,4,0,0
12,4,4,0,4,0,0
13,4,5,1,5,0,0
14,4,6,3,6,0,0
15,5,6,4,7,1,0
16,5,8,7,7,0,0
17,5,9,8,7,1,0
18,8,11,8,7,1,0
19,8,12,8,9,0,0
20,8,13,8,9,1,0
21,8,15,9,10,0,0
22,6,14,9,9,0,0
23,6,12,7,7,1,2
24,6,10,6,5,3,6
25,4,8,4,4,4,7
26,3,6,5,3,8,7
27,2,4,5,1,8,9
28,1,3,4,0,10,12
29,0,3,3,0,12,17
30,0,2,4,0,13,17
31,0,1,3,0,14,18
32,0,0,3,0,14,21
33,0,0,3,0,16,24
34,0,0,3,0,16,25
35,0,0,1,0,16,27
36,0,0,1,0,16,28
37,0,0,1,0,17,28
38,0,0,0,0,17,28
39,1,0,0,0,18,28
40,0,0,0,0,19,28
41,0,0,0,0,21,28
42,1,0,0,0,22,28
43,0,0,0,0,24,28
44,0,0,0,0,26,28
45,0,2,1,0,27,28
46,0,2,0,0,28,28
47,0,1,0,0,28,28
48,0,0,1,0,28,28
49,0,0,0,0,28,28
50,1,0,1,0,31,28
51,1,0,1,0,31,28
52,2,0,0,0,31,28
53,1,0,0,1,32,28
54,1,1,0,1,32,28
55,0,1,0,1,33,28
56,0,3,1,0,33,28
57,0,2,2,0,33,28
58,1,1,1,0,33,28
59,1,0,0,0,34,28
60,0,0,0,0,35,28
61,0,1,0,0,35,28
62,0,0,0,0,35,28
63,0,1,0,0,35,28
64,1,2,1,0,35,28
65,2,2,2,0,35,28
66,2,2,2,0,35,28
67,3,2,2,0,32,28
68,5,3,3,0,26,28
69,5,4,3,1,20,28
70,5,5,3,2,14,28
71,6,7,5,2,8,28
72,6,8,6,2,2,28
73,7,9,6,2,0,28
74,8,10,6,4,0,25
75,8,11,8,4,0,19
76,8,11,9,6,0,13
77,9,12,10,6,0,7
78,9,12,11,8,0,1
79,9,13,11,8,2,0
80,10,13,13,9,0,0
81,12,13,14,10,0,0
82,12,13,13,8,0,0
83,10,11,11,6,2,2
84,8,10,10,5,4,3
85,6,8,9,5,4,5
86,5,7,7,5,4,6
87,5,6,6,4,7,8
88,5,5,7,5,9,12
89,4,4,6,4,13,14
90,3,3,5,3,14,18
91,2,2,6,2,15,20
92,1,1,7,2,15,21
93,0,0,6,1,17,21
94,0,0,6,0,18,21
95,0,0,6,1,21,21
96,0,0,7,0,23,24
97,0,0,6,0,23,24
98,0,0,5,0,24,25
99,0,0,5,0,25,26
100,0,1,5,0,27,26
101,0,2,4,0,28,27
102,0,2,3,0,30,27
103,0,1,2,0,31,28
104,0,1,1,0,31,28
105,0,0,0,0,31,28
106,0,0,0,0,32,28
107,0,0,1,0,32,28
108,0,0,0,0,33,28
109,0,0,0,0,35,28
110,0,0,1,0,35,28
111,0,0,3,0,35,28
112,0,0,2,1,35,28
113,0,0,2,0,35,28
114,0,0,2,0,35,28
115,0,0,1,0,35,28
116,0,0,0,0,35,28
117,0,0,0,1,35,28
118,0,0,0,1,35,28
119,0,0,0,0,35,28
120,0,0,0,0,35,28
121,0,0,0,0,35,28
122,0,0,0,0,35,28
123,0,0,0,0,35,28
124,0,0,0,0,35,28
125,0,0,0,0,33,28
126,1,0,0,0,27,28
127,1,1,1,0,21,28
128,1,3,2,0,15,26
129,1,4,3,0,9,20
130,1,4,5,0,3,14
131,1,4,5,0,0,8
132,2,4,6,1,3,2
133,3,5,7,1,0,0
134,4,7,10,2,1,0
135,4,7,11,3,0,0
136,5,7,11,3,0,0
137,7,7,12,3,1,0
138,7,7,12,3,0,0
139,7,7,13,3,0,1
140,8,8,13,4,2,1
141,10,9,15,4,0,0
142,8,9,16,3,1,0
143,6,7,14,2,2,0
144,4,5,14,1,4,1
145,2,5,12,0,8,1
146,1,4,12,0,10,3
147,2,5,13,0,10,5
148,1,4,13,0,13,6
149,0,3,11,0,14,6
150,0,2,9,0,15,8
151,0,1,8,0,15,9
152,0,0,7,2,15,12
153,0,0,6,1,15,13
154,0,0,6,0,15,17
155,1,0,6,0,16,20
156,0,0,4,0,17,21
157,0,0,3,0,17,25
158,0,0,4,0,18,28
159,0,0,3,0,19,28
160,0,0,1,0,19,28
161,0,0,1,0,19,28
162,0,0,1,0,21,28
163,0,0,2,0,24,28
164,0,0,2,0,24,28
165,0,0,2,1,26,28
166,0,0,1,0,28,28
167,0,1,0,0,30,28
168,0,0,0,0,31,28
169,0,0,0,0,32,28
170,0,0,0,0,32,28
171,1,0,1,0,33,28
172,1,1,1,0,34,28
173,0,1,0,0,35,28
174,0,0,0,0,35,28
175,0,0,0,0,35,28
176,0,0,1,0,35,28
177,0,0,0,0,35,28
178,0,0,1,0,35,28
179,0,0,0,0,35,28
180,0,0,2,0,35,28
181,0,0,2,0,35,28
182,0,0,3,0,35,28
183,0,0,5,0,35,28
184,0,0,6,1,35,28
185,0,0,7,2,35,28
186,0,0,7,2,35,28
187,0,1,7,3,35,28
188,1,0,11,4,35,28
189,2,1,14,4,35,27
190,2,2,14,4,33,21
191,2,3,15,5,27,15
192,3,4,15,6,21,9
193,3,4,15,7,15,3
194,4,4,16,8,9,1
195,5,4,17,8,3,0
196,5,4,18,10,0,0
197,6,4,18,11,1,0
198,6,6,19,13,0,0
199,7,7,19,13,0,0
200,7,7,19,14,0,1
201,7,7,20,14,0,0
202,6,7,18,13,1,0
203,5,6,17,11,1,0
204,4,5,15,10,1,2
205,2,3,13,9,2,2
206,1,1,12,8,2,5
207,0,0,11,6,3,7
208,0,0,10,5,3,9
209,0,0,10,4,4,9
210,0,0,8,2,5,12
211,0,0,8,0,6,12
212,0,0,6,0,7,12
213,0,0,4,0,8,14
214,0,0,4,1,9,14
215,0,0,3,2,10,15
216,0,0,2,2,11,15
217,0,1,2,1,11,19
218,0,0,1,1,12,21
219,0,0,2,0,13,25
220,0,0,1,0,14,27
221,0,0,0,0,15,27
222,0,0,0,0,15,27
223,0,0,0,0,20,27
224,0,0,0,1,22,28
225,0,0,0,0,24,28
226,0,0,0,0,25,28
227,0,0,0,0,26,28
228,0,0,0,0,29,28
229,0,1,0,0,30,28
230,0,0,0,0,32,28
231,0,0,2,0,34,28
232,0,0,0,0,35,28
233,0,0,1,0,35,28
234,0,0,1,0,35,28
235,0,0,2,0,35,28
236,0,0,1,0,35,28
237,0,0,0,0,35,28
238,0,0,0,0,35,28
239,0,0,0,0,35,28
240,0,0,1,0,35,28
241,0,0,1,1,35,28
242,0,0,1,1,35,28
243,0,0,2,1,35,28
244,0,0,2,1,35,28
245,0,0,3,1,34,28
246,0,0,4,2,28,28
247,0,1,4,2,22,28
248,0,1,4,2,16,27
249,0,1,5,2,10,21
250,0,3,5,3,4,15
251,0,3,6,4,0,16
252,0,3,8,4,0,17
253,0,3,12,4,1,11
254,0,8,12,5,0,5
255,0,8,12,5,0,0
256,0,9,14,6,0,0
257,0,9,15,6,0,0
258,0,10,18,6,0,0
259,0,12,20,6,0,0
260,2,12,21,8,2,0
261,3,12,22,8,0,0
262,3,11,22,6,0,0
263,2,12,20,5,1,0
264,1,10,19,4,1,0
265,0,8,17,4,2,3
266,0,7,18,5,4,3
267,0,5,18,3,6,3
268,0,3,18,3,6,3
269,0,2,17,2,8,4
270,0,1,16,1,9,6
271,0,0,15,0,12,6
272,0,0,13,1,12,7
273,0,0,12,0,14,11
274,0,0,10,0,14,13
275,0,0,9,0,16,13
276,0,0,7,0,21,13
277,0,0,5,0,22,15
278,0,0,4,0,24,15
279,0,1,4,1,25,17
280,0,0,3,1,26,18
281,0,0,2,1,27,19
282,0,1,1,1,27,23
283,0,0,1,0,30,25
284,0,0,3,0,31,26
285,0,0,1,0,33,26
286,0,0,2,0,35,28
287,0,0,1,0,35,28
288,0,0,1,0,35,28
289,1,0,1,0,35,28
290,0,0,2,0,35,28
291,0,0,2,1,35,28
292,1,1,1,0,35,28
293,0,3,2,0,35,28
294,0,1,3,0,35,28
295,0,0,2,0,35,28
296,0,0,2,0,35,28
297,0,0,2,1,35,28
298,0,1,2,2,35,28
299,0,0,2,2,35,28
300,0,0,2,1,35,28
